CaseUniqueId,CaseNodeId,CaseReference,ApplicationDescription,ApplicationNumber,ApplicationType,ApplicationValidated,LPACode,LPACrossReference,LPAName,PermissionSought,PreApplicationAdviceGiven,Procedure,Status
3343222,57077269,S62A/2024/0042,"Upgrade the 3rd & 4th floors to comply with building regulations. The alterations to the listed building include upgrading of internal walls, floors, windows and doors. Changes have been proposed to the floor plans to reduce travel distances and a lift has been proposed.

Updated Description - 9 April 2024
A change of use to the 3rd & 4th floor from a hostel to a hotel. The 3rd and 4th floor will be upgraded to comply with building regulations. The alterations to the listed building include the upgrade of walls, floors, windows and doors. Installation of a lift and air con units. As well as layout changes to reduce travel distances.",S62A/2024/0042,Listed building consent to alter/extend,No,Z0116,NULL,Bristol City Council,"Planning permission and listed building consent for alterations, extension or demolition of a listed building",No,Written representations,Withdrawn
3343736,57194970,S62A/2024/0043,"Change of use from a residential dwelling (C3a) to a small house in multiple occupation (C4) for 3-6 people, including the erection of a rear roof extension and single storey rear extension.",S62A/2024/0043,Change of use,No,Z0116,24/01829/PINS,Bristol City Council,Planning permission,No,NULL,Declined to determine
3344956,57473948,S62A/2024/0044,"Erection of a two-storey side extension comprising 1no self-contained dwellinghouse

Updated description 14/06
Demolition of existing conservatory and erection of two-storey dwellinghouse with associated works",S62A/2024/0044,Dwellings of less than 0.5 hectare,No,Z0116,24/02222/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3345139,57520228,S62A/2024/0045,"Erection of a Solar Photovoltaic Farm with supporting infrastructure and battery storage, inverters and transformers, fencing, landscaping works and connecting cable.",S62A/2024/0045,Other (Major Development),No,C1570,UTT/24/1417/PINS,Uttlesford District Council,Planning permission,No,Hearing,Validation
3345559,57611120,S62A/2024/0046,Demolition of existing dwellings and construction of a replacement five bedroom house including attic accommodation & soft landscaping,S62A/2024/0046,Dwellings numbering between 1 and 9,No,B1930,5/2024/0950,St Albans City Council,Planning permission,No,Written representations,Decided
3346342,57766416,S62A/2024/0047,Change of use of part of the ground floor commercial space to purpose-built student accommodation and external alterations,S62A/2024/0047,Change of use,No,Z0116,24/02416/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3346437,57791244,S62A/2024/0048,Demolition of existing 4 bedroom house and outbuildings. Construction of replacement 4 bedroom house and double garage,S62A/2024/0048,Dwellings numbering between 1 and 9,No,B1930,5/2024/1062,St Albans City Council,Planning permission,No,Written representations,Validation
3346773,57862549,S62A/2024/0049,"Up to 50 market and affordable dwellings, public open space and associated highways and drainage
infrastructure - all matters reserved except access",S62A/2024/0049,Dwellings numbering 10 or more,No,C1570,UTT/24/1618/PINS,Uttlesford District Council,Approval of reserved matters following outline approval,No,Written representations,Consultation period open
3346778,57863213,S62A/2024/0050,"Change of use from a small dwellinghouse in multiple occupation for 3-6 people (C4), to a large dwellinghouse in multiple occupation (sui generis) for eight people.

Amended 1 July 2024 to

Change of use from a small dwellinghouse in multiple occupation for 3-6 people (C4), to a large dwellinghouse in multiple occupation (sui generis) for eight people, including erection of refuse, recycling and cycle stores, and minor demolition and external alterations to detached garage to facilitate use as habitable accommodation.",S62A/2024/0050,Change of use,No,Z0116,24/02509/PINS,Bristol City Council,Planning permission,No,Written representations,Validation
3347363,58009481,S62A/2024/0051,Erection of 168 dwellings with associated landscaping and parking.,S62A/2024/0051,Dwellings numbering 10 or more,No,C1570,UTT/24/1732/PINS,Uttlesford District Council,Approval of reserved matters following outline approval,No,Written representations,Consultation period open
3347426,58022819,S62A/2024/0052,"Outline planning application (with all matters reserved except for access) for the demolition of an existing residential property and erection of up to 34 residential dwellings including affordable housing with the provision of access onto
Harrisons Lane and pedestrian and cycle access onto Potato Lane alongside public open spaces, biodiversity enhancement, sustainable urban drainage systems, landscaping, infrastructure, and earthworks",S62A/2024/0052,Dwellings numbering 10 or more,No,P1425,PREAPP/24/0082,Lewes District Council,Outline planning permission with all matters reserved,No,NULL,Pre-Application
