CaseUniqueId,CaseNodeId,CaseReference,Name,caseCategory
3374821,64244897,S62A/2025/0135,"S62A/2025/0135/66 Church Road, Bristol, BS5 9JY",NULL
3374895,64264576,S62A/2025/0136,"S62A/2025/0136/357 Filton Avenue, Horfield, Bristol, BS7 0BD",NULL
3375423,64396048,S62A/2025/0137,"S62A/2025/0137/72-74 Gloucester Road, Bristol, BS7 8BF",NULL
3375478,64409332,S62A/2025/0138,"S62A/2025/0138/26 Sturdon Road, Bristol, BS3 2BA",NULL
3375640,64450979,S62A/2025/0139,"S62A/2025/0139/Castle House, Brentry Avenue, Bristol, BS5 0DL",NULL
3376036,64547079,S62A/2025/0140,"S62A/2025/0140/110 - 112 The assembly, East Street, Bedminster, Bristol, BS3 4EY",NULL
3376150,64575130,S62A/2025/0141,"S62A/2025/0141/16-18 Cherry Lane, Bristol, BS1 3NG",NULL
3376198,64594131,S62A/2025/0142,"S62A/2025/0142/76a Savoy Road, Brislington, Bristol, BS4 3SY",NULL
3376225,64603752,S62A/2025/0143,"S62A/2025/0143/36 Hampton Park, Bristol, BS6 6LH",NULL
3376610,64696447,S62A/2025/0144,"S62A/2025/0144/115 Hampton Road, Redland, Bristol, BS6 6JG",NULL
3376737,64741642,S62A/2025/0145,"S62A/2025/0145/33 Brockworth Cresent, Stapleton, Bristol, BS16 1HQ",NULL
3376738,64740399,S62A/2025/0146,"S62A/2025/0146/33 Brockworth Crescent, Stapleton, Bristol, BS16 1HQ",NULL
3376849,64784160,S62A/2025/0147,"S62A/2025/0147/Land to rear of 372-374 Southmead Road, Bristol, BS10 5LP",NULL
3376904,64797778,S62A/2025/0148,"S62A/2025/0148/The Landing (Ground Floor Cafe), 125 Redcliff Street, Bristol, BA1 6HU",NULL
3377086,64834926,S62A/2025/0149,"S62A/2025/0149/ 703 Fishponds Road, Bristol, BS16 3UH",NULL
3377096,64839260,S62A/2025/0150,"S62A/2025/0150/265-267 Church Road, Bristol, BS5 9HU",NULL
3377128,64848865,S62A/2025/0151,"S62A/2025/0151/15 Sterncourt Road, Stapleton, Bristol, BS16 1LB",NULL
3377230,64905139,S62A/2026/0152,"S62A/2026/0152/Colston Villas, 23 Horfield Road, Bristol BS2 8EA",NULL
3377521,65006133,S62A/2026/0153,"S62A/2026/0153/8 & 8A Durdham Park, Westbury Park, Bristol, BS6 6XA",NULL
3378824,65783528,S62A/2026/0154,"S62A/2026/0154/(pre-app) Land at former Pickfield Nurseries, Pick Hill, Waltham Abbey, EN9 3LD",pre-app
3378852,65813466,S62A/2026/0155,"S62A/2026/0155/(pre-app) Land south west of Stonards Hill, Epping",pre-app
