CaseUniqueId,CaseNodeId,ProposalDescription,SiteAddress,SitePostcode,SiteEasting,SiteNorthing,SiteVisibleFromPublicLand,SiteArea,SiteAreaUnitMeasurement,TotalExistingResidentialUnits,TotalProposedResidentialUnits,NetResidentialUnitChange,NetAdditionalFloorspaceSqM,NonResExistingFloorspaceSqM,NonResFloorspaceLostSqM,NonResFloorspaceProposedSqM,NonResNetFloorspaceSqM,ActivitiesProcessesDescription,IsWasteDevelopment,WasteType,WasteMaxThroughputType,VoidCapacityCubicMetres,LiquidWasteMaxAnnualThroughput,ParkingGroupID,ParkingVehicleType,ParkingExistingSpaces,ParkingProposedSpaces,ParkingSpaceDifference,NonResGroupID,UseClass,FloorspaceChange,ExistingFloorspaceSqM,FloorspaceLostSqM,FloorspaceProposedSqM,ExistingHousingGroupID,ExistingHousingOccupancyType,ExistingHousingUnitType,ExistingHousing1BedCount,ExistingHousing2BedCount,ExistingHousing3BedCount,ExistingHousing4PlusBedCount,ExistingHousingUnknownBedCount,ExistingHousingTotalUnits,ProposedHousingGroupID,ProposedHousingUnitType,ProposedHousingOccupancyType,ProposedHousing1BedCount,ProposedHousing2BedCount,ProposedHousing3BedCount,ProposedHousing4PlusBedCount,ProposedHousingUnknownBedCount,ProposedHousingTotalUnits
3319907,51916497,NULL,"Warish Hall Farm, Smiths Green Lane, Takeley, Essex",CM22 6NZ,556844,222165,Yes,2.1,NULL,0,40,40,NULL,NULL,NULL,NULL,NULL,NULL,No,NULL,NULL,NULL,NULL,12,Cars,0,106,106,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,3,5,5,3,NULL,16,2,Houses,Market Housing,NULL,6,10,8,NULL,24
3319999,51937925,NULL,"Land at Tilekiln Green, Start Hill, Great Hallingbury",CM22 7TA,551726,221351,NULL,5.12,Hectares,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3325259,53087260,NULL,"Stansted Airport
Bassingbourn Road
Stansted
",CM24 1QW,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3331210,54383533,NULL,"Land North of Eldridge Close, Stickling Green, Clavering, Essex",CB11 4FZ,548048,232815,NULL,1.35,NULL,0,28,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,0,58,58,15,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,2,Houses,Market Housing,NULL,6,4,6,NULL,16
3331210,54383533,NULL,"Land North of Eldridge Close, Stickling Green, Clavering, Essex",CB11 4FZ,548048,232815,NULL,1.35,NULL,0,28,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,0,58,58,15,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,3,Houses,Social Rented,NULL,4,3,NULL,NULL,7
3331210,54383533,NULL,"Land North of Eldridge Close, Stickling Green, Clavering, Essex",CB11 4FZ,548048,232815,NULL,1.35,NULL,0,28,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,Cars,0,58,58,15,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,Flats and Maisonettes,Social Rented,3,2,NULL,NULL,NULL,5
3331286,54403436,NULL,"Land West of Robin Hood Road, Elsenham",NULL,553395,225943,NULL,2.25,Hectares,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3331617,54474698,NULL,"Warish Hall Farm
Smiths Green Lane
Takeley
Essex
",CM22 6NZ,556844,222165,NULL,2.1,Hectares,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3334584,55155356,NULL,"Land North of Thaxted Road,
Saffron Walden",NULL,55184,237428,NULL,4.3,Hectares,NULL,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3334582,55156834,NULL,"Land to the west of Clatterbury Lane,
Clavering,
Essex",NULL,548043,232738,NULL,1.26,Hectares,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,Houses,Market Housing,2,2,6,7,NULL,17
